t_s,v_volt,is_amp,i_amp,q_coulomb,soc_percent,v_model_volt,residual_volt,power_watt
88,4.0894097338,0.33105902662,0.74,65.12,97.5555555556,4.0894097338,-2.54907206454e-13,3.02616320301
89,4.08867501851,0.331132498149,0.74,65.86,97.5277777778,4.08867501851,-2.70894418009e-13,3.0256195137
90,4.08794432827,0.331205567173,0.74,66.6,97.5,4.08794432827,-2.77999845366e-13,3.02507880292
91,4.0872176327,0.33127823673,0.74,67.34,97.4722222222,4.0872176327,-2.51354492775e-13,3.0245410482
92,4.08649490164,0.331350509836,0.74,68.08,97.4444444444,4.08649490164,-2.70006239589e-13,3.02400622721
93,4.08577610519,0.331422389481,0.74,68.82,97.4166666667,4.08577610519,-2.51354492775e-13,3.02347431784
94,4.08506121363,0.331493878637,0.74,69.56,97.3888888889,4.08506121363,-2.50466314355e-13,3.02294529809
95,4.08435019751,0.331564980249,0.74,70.3,97.3611111111,4.08435019751,-2.59348098552e-13,3.02241914616
96,4.08364302758,0.331635697242,0.74,71.04,97.3333333333,4.08364302758,-2.47801779096e-13,3.02189584041
97,4.0829396748,0.33170603252,0.74,71.78,97.3055555556,4.0829396748,-2.54907206454e-13,3.02137535935
98,4.08224011037,0.331775988963,0.74,72.52,97.2777777778,4.08224011037,-2.61124455392e-13,3.02085768167
99,4.0815443057,0.33184556943,0.74,73.26,97.25,4.0815443057,-2.47801779096e-13,3.02034278622
100,4.08085223241,0.331914776759,0.74,74,97.2222222222,4.08085223241,-2.22044604925e-13,3.01983065198
101,4.08016386234,0.331983613766,0.74,74.74,97.1944444444,4.08016386233,-2.29150032283e-13,3.01932125813
102,4.07947916754,0.332052083246,0.74,75.48,97.1666666667,4.07947916754,-2.49578135936e-13,3.01881458398
103,4.07879812027,0.332120187973,0.74,76.22,97.1388888889,4.07879812027,-2.28261853863e-13,3.018310609
104,4.07812069301,0.332187930699,0.74,76.96,97.1111111111,4.07812069301,-2.05169214951e-13,3.01780931283
105,4.07744685844,0.332255314156,0.74,77.7,97.0833333333,4.07744685844,-2.24709140184e-13,3.01731067524
106,4.07677658943,0.332322341057,0.74,78.44,97.0555555556,4.07677658943,-1.90070181816e-13,3.01681467618
107,4.07610985909,0.332389014091,0.74,79.18,97.0277777778,4.07610985909,-2.10498285469e-13,3.01632129572
108,4.0754466407,0.33245533593,0.74,79.92,97,4.0754466407,-2.30038210702e-13,3.01583051412
109,4.07478690776,0.332521309224,0.74,80.66,96.9722222222,4.07478690776,-2.01616501272e-13,3.01534231174
110,4.07413063396,0.332586936604,0.74,81.4,96.9444444444,4.07413063396,-2.12274642308e-13,3.01485666913
111,4.0734777932,0.33265222068,0.74,82.14,96.9166666667,4.0734777932,-2.33590924381e-13,3.01437356697
112,4.07282835956,0.332717164044,0.74,82.88,96.8888888889,4.07282835956,-1.99840144433e-13,3.01389298608
113,4.07218230734,0.332781769266,0.74,83.62,96.8611111111,4.07218230734,-1.82964754458e-13,3.01341490743
114,4.07153961101,0.332846038899,0.74,84.36,96.8333333333,4.07153961101,-2.22044604925e-13,3.01293931215
115,4.07090024525,0.332909975475,0.74,85.1,96.8055555556,4.07090024525,-1.99840144433e-13,3.01246618149
116,4.07026418492,0.332973581508,0.74,85.84,96.7777777778,4.07026418492,-1.82076576039e-13,3.01199549684
117,4.06963140507,0.333036859493,0.74,86.58,96.75,4.06963140507,-1.89182003396e-13,3.01152723975
118,4.06900188095,0.333099811905,0.74,87.32,96.7222222222,4.06900188095,-1.98951966013e-13,3.0110613919
119,4.06837558798,0.333162441202,0.74,88.06,96.6944444444,4.06837558798,-1.86517468137e-13,3.0105979351
120,4.06775250177,0.333224749823,0.74,88.8,96.6666666667,4.06775250177,-1.85629289717e-13,3.01013685131
121,4.06713259814,0.333286740186,0.74,89.54,96.6388888889,4.06713259814,-1.91846538655e-13,3.00967812262
122,4.06651585304,0.333348414696,0.74,90.28,96.6111111111,4.06651585304,-1.52766688188e-13,3.00922173125
123,4.06590224266,0.333409775734,0.74,91.02,96.5833333333,4.06590224266,-1.85629289717e-13,3.00876765957
124,4.06529174333,0.333470825667,0.74,91.76,96.5555555556,4.06529174333,-1.82964754458e-13,3.00831589006
125,4.06468433157,0.333531566843,0.74,92.5,96.5277777778,4.06468433157,-1.39444011893e-13,3.00786640536
126,4.06407998407,0.333592001593,0.74,93.24,96.5,4.06407998407,-1.7674750552e-13,3.00741918821
127,4.06347867772,0.333652132228,0.74,93.98,96.4722222222,4.06347867772,-1.62536650805e-13,3.00697422151
128,4.06288038956,0.333711961044,0.74,94.72,96.4444444444,4.06288038956,-1.42108547152e-13,3.00653148828
129,4.06228509681,0.333771490319,0.74,95.46,96.4166666667,4.06228509681,-1.60760293966e-13,3.00609097164
130,4.06169277687,0.333830722313,0.74,96.2,96.3888888889,4.06169277687,-1.65201186064e-13,3.00565265488
131,4.06110340729,0.333889659271,0.74,96.94,96.3611111111,4.06110340729,-1.57207580287e-13,3.0052165214
132,4.06051696582,0.333948303418,0.74,97.68,96.3333333333,4.06051696582,-1.46549439251e-13,3.0047825547
133,4.05993343035,0.334006656965,0.74,98.42,96.3055555556,4.05993343034,-1.4743761767e-13,3.00435073846
134,4.05935277894,0.334064722106,0.74,99.16,96.2777777778,4.05935277894,-1.72306613422e-13,3.00392105642
135,4.05877498985,0.334122501015,0.74,99.9,96.25,4.05877498985,-1.53654866608e-13,3.00349349249
136,4.05820004145,0.334179995855,0.74,100.64,96.2222222222,4.05820004145,-1.66977542904e-13,3.00306803068
137,4.05762791232,0.334237208768,0.74,101.38,96.1944444444,4.05762791232,-1.39444011893e-13,3.00264465512
138,4.05705858118,0.334294141882,0.74,102.12,96.1666666667,4.05705858118,-1.11022302463e-13,3.00222335007
139,4.0564920269,0.33435079731,0.74,102.86,96.1388888889,4.0564920269,-1.22568621919e-13,3.00180409991
140,4.05592822854,0.334407177146,0.74,103.6,96.1111111111,4.05592822854,-1.1990408666e-13,3.00138688912
141,4.05536716529,0.334463283471,0.74,104.34,96.0833333333,4.05536716529,-1.27897692437e-13,3.00097170231
142,4.0548088165,0.33451911835,0.74,105.08,96.0555555556,4.0548088165,-1.4832579609e-13,3.00055852421
143,4.05425316171,0.334574683829,0.74,105.82,96.0277777778,4.05425316171,-1.40332190313e-13,3.00014733966
144,4.05370018056,0.334629981944,0.74,106.56,96,4.05370018056,-1.46549439251e-13,2.99973813361
145,4.05314985289,0.334685014711,0.74,107.3,95.9722222222,4.05314985289,-1.58095758707e-13,2.99933089114
