t_s,v_measured_V,is_A,i_A,q_C,v_fitted_V,residual_V
2127,3.60341298666137,0.379658701333863,0.74,1573.98000000002,3.60341298666139,2.04281036531029e-14
2128,3.60317423371345,0.379682576628655,0.74,1574.72000000002,3.60317423371342,-2.22044604925031e-14
2129,3.6029351830897,0.37970648169103,0.74,1575.46000000002,3.60293518308971,7.54951656745106e-15
2130,3.60269583241831,0.379730416758169,0.74,1576.20000000002,3.60269583241832,1.15463194561016e-14
2131,3.60245617930843,0.379754382069157,0.74,1576.94000000002,3.60245617930844,5.77315972805081e-15
2132,3.6022162213502,0.37977837786498,0.74,1577.68000000002,3.6022162213502,4.44089209850063e-16
2133,3.60197595611456,0.379802404388544,0.74,1578.42000000002,3.60197595611454,-1.4210854715202e-14
2134,3.60173538115302,0.379826461884698,0.74,1579.16000000002,3.60173538115303,1.15463194561016e-14
2135,3.60149449399776,0.379850550600224,0.74,1579.90000000002,3.60149449399773,-2.75335310107039e-14
2136,3.60125329216106,0.379874670783894,0.74,1580.64000000002,3.60125329216106,-6.21724893790088e-15
2137,3.60101177313555,0.379898822686445,0.74,1581.38000000002,3.60101177313557,1.82076576038526e-14
2138,3.60076993439387,0.379923006560613,0.74,1582.12000000002,3.60076993439389,1.99840144432528e-14
2139,3.60052777338848,0.379947222661152,0.74,1582.86000000002,3.60052777338846,-1.55431223447522e-14
2140,3.60028528755146,0.379971471244854,0.74,1583.60000000002,3.60028528755146,4.44089209850063e-15
2141,3.60004247429458,0.379995752570542,0.74,1584.34000000002,3.60004247429459,6.21724893790088e-15
2142,3.59979933100894,0.380020066899106,0.74,1585.08000000002,3.59979933100892,-1.64313007644523e-14
2143,3.59955585506475,0.380044414493525,0.74,1585.82000000002,3.59955585506475,3.10862446895044e-15
2144,3.59931204381144,0.380068795618856,0.74,1586.56000000002,3.59931204381142,-1.82076576038526e-14
2145,3.59906789457716,0.380093210542284,0.74,1587.30000000002,3.59906789457714,-2.22044604925031e-14
2146,3.59882340466885,0.380117659533115,0.74,1588.04000000002,3.59882340466884,-1.11022302462516e-14
2147,3.59857857137197,0.380142142862803,0.74,1588.78000000002,3.59857857137199,1.37667655053519e-14
2148,3.59833339195043,0.380166660804957,0.74,1589.52000000002,3.59833339195043,-6.66133814775094e-15
2149,3.59808786364619,0.380191213635381,0.74,1590.26000000002,3.59808786364619,8.88178419700125e-15
2150,3.59784198367936,0.380215801632064,0.74,1591.00000000002,3.59784198367935,-7.105427357601e-15
2151,3.59759574924783,0.380240425075217,0.74,1591.74000000002,3.59759574924781,-1.68753899743024e-14
2152,3.59734915752719,0.380265084247281,0.74,1592.48000000002,3.59734915752716,-2.97539770599542e-14
2153,3.59710220567047,0.380289779432953,0.74,1593.22000000002,3.59710220567048,8.88178419700125e-15
2154,3.59685489080817,0.380314510919183,0.74,1593.96000000002,3.59685489080815,-2.22044604925031e-14
2155,3.59660721004772,0.380339278995228,0.74,1594.70000000002,3.59660721004772,-1.33226762955019e-15
2156,3.59635916047364,0.380364083952636,0.74,1595.44000000002,3.59635916047366,2.35367281220533e-14
2157,3.59611073914724,0.380388926085276,0.74,1596.18000000002,3.59611073914723,-3.99680288865056e-15
2158,3.59586194310629,0.380413805689371,0.74,1596.92000000002,3.59586194310626,-2.39808173319034e-14
2159,3.59561276936498,0.380438723063502,0.74,1597.66000000002,3.59561276936499,8.88178419700125e-15
2160,3.59536321491385,0.380463678508615,0.74,1598.40000000002,3.59536321491384,-8.88178419700125e-16
2161,3.5951132767193,0.38048867232807,0.74,1599.14000000002,3.5951132767193,-8.88178419700125e-16
2162,3.59486295172363,0.380513704827637,0.74,1599.88000000002,3.59486295172365,1.99840144432528e-14
